Año,Total
1962,8486120
1963,8656006
1964,8825046
1965,8994936
1966,9161649
1967,9326268
1968,9491502
1969,9656299
1970,9820481
1971,9984378
1972,10145765
1973,10307842
1974,10472743
1975,10639531
1976,10804869
1977,10969861
1978,11137748
1979,11304331
1980,11174000
1981,11360000
1982,11545000
1983,11731000
1984,11917000
1985,12102000
1986,12317000
1987,12533000
1988,12748000
1989,12963000
1990,13179000
1991,13422000
1992,13737000
1993,13957000
1994,14172000
1995,14381000
1996,14585000
1997,14783000
1998,14975000
1999,15162000
2000,15343000
2001,15520000
2002,15692000
2003,15857000
2004,16022000
2005,16183000
2006,16348000
2007,16518000
2008,16698000
2009,16881000
2010,17064000
2011,17254000
2012,17443000
2013,17612000
2014,17788000
2015,17971000
2016,18167000
2017,18419000
2018,18751000
2019,19107000
2020,19458000
2021,19493184
